country_code,year,PC1
MEX,1960,-479870316520.3622
MEX,1961,-478795473195.27264
MEX,1962,-477797448819.72327
MEX,1963,-476108467159.07245
MEX,1964,-473114350387.8715
MEX,1965,-471425329252.2639
MEX,1966,-469045387379.94995
MEX,1967,-466895758245.61646
MEX,1968,-464208725056.6198
MEX,1969,-461214600692.7894
MEX,1970,-458297243682.9622
MEX,1971,-454616641066.01807
MEX,1972,-448655116700.3967
MEX,1973,-438330687388.25073
MEX,1974,-421325464972.5411
MEX,1975,-404761666418.1027
MEX,1976,-402158154289.83044
MEX,1977,-407042371043.3772
MEX,1978,-385919333377.3297
MEX,1979,-353163729654.88043
MEX,1980,-281328281215.6979
MEX,1981,-219021826306.44257
MEX,1982,-292960063616.8562
MEX,1983,-318326719152.8475
MEX,1984,-290835708906.0174
MEX,1985,-279744014412.0026
MEX,1986,-336835727444.7343
MEX,1987,-321959530478.63416
MEX,1988,-292146312861.2929
MEX,1989,-255476134041.24246
MEX,1990,-214253989903.46948
MEX,1991,-161754388572.43817
MEX,1992,-114253621092.83258
MEX,1993,23228393753.005104
MEX,1994,51480292386.80437
MEX,1995,-101950876610.96953
MEX,1996,-55675862002.95746
MEX,1997,27696739590.187714
MEX,1998,55919971137.61171
MEX,1999,128867894510.49796
MEX,2000,227862823572.79492
MEX,2001,278491512999.15186
MEX,2002,290798476984.6222
MEX,2003,250147015210.63672
MEX,2004,302950962594.2106
MEX,2005,395726956822.6255
MEX,2006,489627303403.9811
MEX,2007,570979853679.966
MEX,2008,626408574854.9756
MEX,2009,423717652472.3084
MEX,2010,589888674054.0607
MEX,2011,720527253438.8385
MEX,2012,756461745123.9834
MEX,2013,842872212378.202
MEX,2014,892304951508.4573
MEX,2015,750248292728.6265
MEX,2016,659230031974.1316
MEX,2017,741939418899.3245
MEX,2018,806072163525.0223
MEX,2019,855376382854.5187
MEX,2020,670443771463.1211
