country_code,year,DT.DOD.DECT.CD,DT.DOD.DECT.GN.ZS,DT.ODA.ODAT.CD,DT.ODA.ODAT.GN.ZS,EG.ELC.ACCS.ZS,EG.FEC.RNEW.ZS,EG.USE.PCAP.KG.OE,EN.ATM.GHGT.KT.CE,EN.ATM.PM25.MC.ZS,EN.POP.SLUM.UR.ZS,FS.AST.PRVT.GD.ZS,FX.OWN.TOTL.ZS,GB.XPD.RSDV.GD.ZS,GC.TAX.TOTL.GD.ZS,GC.XPN.TOTL.GD.ZS,IC.BUS.EASE.XQ,IC.BUS.NREG,IT.CEL.SETS.P2,IT.NET.USER.ZS,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,NV.AGR.TOTL.ZS,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,SE.TER.ENRR,SE.XPD.TOTL.GD.ZS,SG.GEN.PARL.ZS,SH.DYN.MORT,SH.H2O.SMDW.ZS,SI.POV.GINI,SI.POV.NAHC,SL.TLF.TOTL.FE.ZS,SL.UEM.TOTL.MA.ZS,SP.DYN.LE00.IN,SP.DYN.LE00.MA.IN,SP.RUR.TOTL.ZS,SP.URB.TOTL.IN.ZS,TX.VAL.TECH.MF.ZS,per_allsp.adq_pop_tot,per_allsp.cov_pop_tot
ARG,1960,,,44049999.2370605,,,,,,,,13.6112443648555,,,,,,,,,7.60404910825644,7.60404697912324,,,,,,,,,,,,,65.055,62.417,26.389,73.611,,,
ARG,1961,,,54790000.9155273,,,,,,,,14.0881217748183,,,,,,,,,5.9949469947787,5.99494531619397,,,5.42784287951248,,,,,,,,,,65.176,62.46,25.783,74.217,,,
ARG,1962,,,55159999.8474121,0.219906324801654,,,,,,,12.0111143401459,,,,,,,,,4.69184275899831,9.38368289056535,,24450604877.6081,-0.852021523482009,,,,,,,,,,65.269,62.478,25.233,74.767,,,
ARG,1963,,,27870000.8392334,0.148680033519912,,,,,,,11.5200601982166,,,,,,,,,7.89045420262462,7.89045203275027,,18272123664.4715,-5.30819682651725,,,,,,,,,,65.348,62.487,24.691,75.309,,,
ARG,1964,,,-5289999.96185303,-0.0201386779034425,,,,,,,10.6266940953325,,,,,,,,,5.56371560478508,5.56371407476368,,25605249381.7597,10.1302976614338,,,,,,,,,,65.426,62.503,24.156,75.844,,,
ARG,1965,,,-57150001.5258789,-0.196538763267846,,,,,,,10.1066697396366,,,,,,,,,6.22587443766796,4.15058297228058,12.9041629886915,28344705966.6389,10.5694333403428,,,,,,,,,,65.518,62.542,23.631,76.369,,,
ARG,1966,,,-9279999.73297119,-0.0311449194739381,,,,,,,11.0604753990949,,,,,,,,,6.65291738359955,4.98968803354159,10.2787574725073,28630474727.9023,-0.659726171593704,,,,,,,,,,65.64,62.619,23.112,76.888,,,
ARG,1967,,,8979999.54223633,0.0368875693850709,,,,,,,10.9435707274347,,,,,,,,,7.4955962262493,4.99706414666865,9.98038631665412,24256667553.2569,3.1919966233703,,,,,,,,,,65.796,62.739,22.602,77.398,,,
ARG,1968,,,2720000.02861023,0.0104436350372748,,,,,,,13.8659232883292,,,,,,,,,6.48445346277515,5.40371142251908,9.72127698537181,26436857247.4982,4.82250078158644,,,,,,,,,,65.989,62.901,22.099,77.901,,,
ARG,1969,,,17579999.9237061,0.0566428539487241,,,,,,,15.9785011847982,,,,,,,,,6.3987133165299,6.3987133165299,9.18580964838541,31256284543.6155,9.67952600806899,,,,72.5,,,,,,66.219,63.106,21.606,78.394,,,
