country_code,year,feature_code,value
ARG,1988,SP.DYN.LE00.IN,71.186
ARG,1989,SP.DYN.LE00.IN,71.384
ARG,1990,SP.DYN.LE00.IN,71.594
ARG,1991,SP.DYN.LE00.IN,71.813
ARG,1992,SP.DYN.LE00.IN,72.032
ARG,1993,SP.DYN.LE00.IN,72.246
ARG,1994,SP.DYN.LE00.IN,72.453
ARG,1995,SP.DYN.LE00.IN,72.651
ARG,1996,SP.DYN.LE00.IN,72.843
ARG,1997,SP.DYN.LE00.IN,73.029
ARG,1998,SP.DYN.LE00.IN,73.213
ARG,1999,SP.DYN.LE00.IN,73.396
ARG,2000,SP.DYN.LE00.IN,73.576
ARG,2001,SP.DYN.LE00.IN,73.755
ARG,2002,SP.DYN.LE00.IN,73.932
ARG,2003,SP.DYN.LE00.IN,74.107
ARG,2004,SP.DYN.LE00.IN,74.28
ARG,2005,SP.DYN.LE00.IN,74.451
ARG,2006,SP.DYN.LE00.IN,74.62
ARG,2007,SP.DYN.LE00.IN,74.787
ARG,2008,SP.DYN.LE00.IN,74.952
ARG,2009,SP.DYN.LE00.IN,75.116
ARG,2010,SP.DYN.LE00.IN,75.278
ARG,2011,SP.DYN.LE00.IN,75.439
ARG,2012,SP.DYN.LE00.IN,75.598
ARG,2013,SP.DYN.LE00.IN,75.756
ARG,2014,SP.DYN.LE00.IN,75.913
ARG,2015,SP.DYN.LE00.IN,76.068
ARG,2016,SP.DYN.LE00.IN,76.221
ARG,2017,SP.DYN.LE00.IN,76.372
ARG,2018,SP.DYN.LE00.IN,76.52
ARG,2019,SP.DYN.LE00.IN,76.667
AUS,1988,SP.DYN.LE00.IN,76.4326829268293
AUS,1989,SP.DYN.LE00.IN,76.7136585365854
AUS,1990,SP.DYN.LE00.IN,76.9946341463415
AUS,1991,SP.DYN.LE00.IN,77.2756097560976
AUS,1992,SP.DYN.LE00.IN,77.3780487804878
AUS,1993,SP.DYN.LE00.IN,77.8780487804878
AUS,1994,SP.DYN.LE00.IN,77.8780487804878
AUS,1995,SP.DYN.LE00.IN,77.8292682926829
AUS,1996,SP.DYN.LE00.IN,78.0780487804878
AUS,1997,SP.DYN.LE00.IN,78.4804878048781
AUS,1998,SP.DYN.LE00.IN,78.6317073170732
AUS,1999,SP.DYN.LE00.IN,78.9317073170732
AUS,2000,SP.DYN.LE00.IN,79.2341463414634
AUS,2001,SP.DYN.LE00.IN,79.6341463414634
AUS,2002,SP.DYN.LE00.IN,79.9365853658537
AUS,2003,SP.DYN.LE00.IN,80.2390243902439
AUS,2004,SP.DYN.LE00.IN,80.490243902439
AUS,2005,SP.DYN.LE00.IN,80.8414634146341
AUS,2006,SP.DYN.LE00.IN,81.0414634146342
AUS,2007,SP.DYN.LE00.IN,81.2926829268293
AUS,2008,SP.DYN.LE00.IN,81.3951219512195
AUS,2009,SP.DYN.LE00.IN,81.5439024390244
AUS,2010,SP.DYN.LE00.IN,81.6951219512195
AUS,2011,SP.DYN.LE00.IN,81.8951219512195
AUS,2012,SP.DYN.LE00.IN,82.0463414634146
AUS,2013,SP.DYN.LE00.IN,82.1487804878049
AUS,2014,SP.DYN.LE00.IN,82.3
AUS,2015,SP.DYN.LE00.IN,82.4
AUS,2016,SP.DYN.LE00.IN,82.4487804878049
AUS,2017,SP.DYN.LE00.IN,82.5
AUS,2018,SP.DYN.LE00.IN,82.7487804878049
AUS,2019,SP.DYN.LE00.IN,82.9
BRA,1988,SP.DYN.LE00.IN,65.553
BRA,1989,SP.DYN.LE00.IN,65.947
BRA,1990,SP.DYN.LE00.IN,66.343
BRA,1991,SP.DYN.LE00.IN,66.742
BRA,1992,SP.DYN.LE00.IN,67.141
BRA,1993,SP.DYN.LE00.IN,67.539
BRA,1994,SP.DYN.LE00.IN,67.932
BRA,1995,SP.DYN.LE00.IN,68.318
BRA,1996,SP.DYN.LE00.IN,68.695
BRA,1997,SP.DYN.LE00.IN,69.061
BRA,1998,SP.DYN.LE00.IN,69.419
BRA,1999,SP.DYN.LE00.IN,69.769
BRA,2000,SP.DYN.LE00.IN,70.116
BRA,2001,SP.DYN.LE00.IN,70.462
BRA,2002,SP.DYN.LE00.IN,70.813
BRA,2003,SP.DYN.LE00.IN,71.17
BRA,2004,SP.DYN.LE00.IN,71.531
BRA,2005,SP.DYN.LE00.IN,71.896
BRA,2006,SP.DYN.LE00.IN,72.26
BRA,2007,SP.DYN.LE00.IN,72.618
BRA,2008,SP.DYN.LE00.IN,72.966
BRA,2009,SP.DYN.LE00.IN,73.3
BRA,2010,SP.DYN.LE00.IN,73.619
BRA,2011,SP.DYN.LE00.IN,73.921
BRA,2012,SP.DYN.LE00.IN,74.209
BRA,2013,SP.DYN.LE00.IN,74.483
BRA,2014,SP.DYN.LE00.IN,74.745
BRA,2015,SP.DYN.LE00.IN,74.994
BRA,2016,SP.DYN.LE00.IN,75.23
BRA,2017,SP.DYN.LE00.IN,75.456
BRA,2018,SP.DYN.LE00.IN,75.672
BRA,2019,SP.DYN.LE00.IN,75.881
CAN,1988,SP.DYN.LE00.IN,76.919512195122
CAN,1989,SP.DYN.LE00.IN,77.119512195122
CAN,1990,SP.DYN.LE00.IN,77.4219512195122
CAN,1991,SP.DYN.LE00.IN,77.6219512195122
CAN,1992,SP.DYN.LE00.IN,77.7243902439024
CAN,1993,SP.DYN.LE00.IN,77.8243902439025
CAN,1994,SP.DYN.LE00.IN,77.8268292682927
CAN,1995,SP.DYN.LE00.IN,78.0292682926829
CAN,1996,SP.DYN.LE00.IN,78.1804878048781
CAN,1997,SP.DYN.LE00.IN,78.4317073170732
CAN,1998,SP.DYN.LE00.IN,78.6341463414634
CAN,1999,SP.DYN.LE00.IN,78.8853658536585
CAN,2000,SP.DYN.LE00.IN,79.1365853658537
CAN,2001,SP.DYN.LE00.IN,79.3390243902439
