,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
SP.DYN.LE00.IN,0.3675957839334693,0.034061328152448334,-0.07020128114502816,0.1367120550314954,-0.2978326365687319,-0.19187914346031282,-0.21585368441110322,0.14401793757878553
SH.DYN.MORT,-0.36251351924579683,0.0004229046294456478,0.060664064083785205,-0.11229707835006647,0.13384596267068405,0.2468127136683276,0.2635581795762325,0.2347652721738345
SP.DYN.LE00.MA.IN,0.3599143016287637,0.04491366953779214,-0.04420820531079693,0.14903151694051645,-0.3484516114734509,-0.1692673145593088,-0.22876383746890813,0.17125410782418132
SP.RUR.TOTL.ZS,-0.34436318828174134,0.13148454306620003,0.29267580985859143,-0.023641779811127556,-0.18202299839609212,0.035512344131332335,-0.2978000754808434,-0.08043432927144692
SP.URB.TOTL.IN.ZS,0.3443631882817411,-0.13148454306620044,-0.29267580985859154,0.02364177981112748,0.18202299839609265,-0.03551234413133231,0.2978000754808436,0.08043432927144677
NV.AGR.TOTL.ZS,-0.34223185953279067,0.11302382522727372,0.04921073580999155,-0.08629428700722236,-0.18307331007897926,-0.14394258999756449,-0.30689128445534886,0.5287166323579646
EG.USE.PCAP.KG.OE,0.283701162131281,0.06787765630452038,0.0015228108743990342,-0.1842374926546365,0.6294626938711957,0.2821287134641541,-0.4904874664274173,0.3594449940842433
FS.AST.PRVT.GD.ZS,0.2282037015012898,0.3645680653263205,0.10797934779414327,0.0649029284943729,-0.30344023531457054,0.7756468305200593,-0.00945474865993901,-0.16996451631079995
NE.IMP.GNFS.ZS,0.19327803184650594,-0.34159221331610723,0.5561344557912397,-0.06602815412641444,-0.11722846216183956,-0.0042845045585289876,-0.06482520508090649,0.07200136908223681
NY.GDP.MKTP.CD,0.18121013043129972,0.4639016862180023,0.3005052319002812,-0.10906219182593044,-0.04172567765573718,-0.13124247796341337,0.5398329075707115,0.4729654410493404
NE.EXP.GNFS.ZS,0.1600532027592985,-0.38772363391003,0.565702163093156,-0.023813302380165102,0.12045711152020838,0.003007702131191393,0.09342238905447223,-0.08627421313975132
NY.GDP.MKTP.KD.ZG,-0.12023558379100985,0.04110530033826162,0.13750964991278553,0.9385333422040528,0.23845429143202637,0.04024435403544212,0.015046878717418883,0.14348581917687458
EN.ATM.GHGT.KT.CE,0.08242521369733578,0.5727522387573744,0.2559662149539,-0.04584959364229181,0.3114943079114015,-0.38765515158449804,-0.12172089197523371,-0.432822047608434
