country_code,year,SP.URB.TOTL.IN.ZS,SP.RUR.TOTL.ZS,SP.DYN.LE00.MA.IN,SP.DYN.LE00.IN,NY.GDP.MKTP.CD,NE.IMP.GNFS.ZS,NE.EXP.GNFS.ZS,NY.GDP.MKTP.KD.ZG,SH.DYN.MORT,EG.USE.PCAP.KG.OE,EN.ATM.GHGT.KT.CE,NV.AGR.TOTL.ZS,FS.AST.PRVT.GD.ZS,SE.TER.ENRR,GC.TAX.TOTL.GD.ZS
ARG,1960,73.611,26.389,62.417,65.055,,7.60404697912324,7.60404910825644,,,,,,13.6112443648555,,
ARG,1961,74.217,25.783,62.46,65.176,,5.99494531619397,5.9949469947787,5.42784287951248,,,,,14.0881217748183,,
ARG,1962,74.767,25.233,62.478,65.269,24450604877.6081,9.38368289056535,4.69184275899831,-0.852021523482009,,,,,12.0111143401459,,
ARG,1963,75.309,24.691,62.487,65.348,18272123664.4715,7.89045203275027,7.89045420262462,-5.30819682651725,,,,,11.5200601982166,,
ARG,1964,75.844,24.156,62.503,65.426,25605249381.7597,5.56371407476368,5.56371560478508,10.1302976614338,,,,,10.6266940953325,,
ARG,1965,76.369,23.631,62.542,65.518,28344705966.6389,4.15058297228058,6.22587443766796,10.5694333403428,,,,12.9041629886915,10.1066697396366,,
ARG,1966,76.888,23.112,62.619,65.64,28630474727.9023,4.98968803354159,6.65291738359955,-0.659726171593704,,,,10.2787574725073,11.0604753990949,,
ARG,1967,77.398,22.602,62.739,65.796,24256667553.2569,4.99706414666865,7.4955962262493,3.1919966233703,,,,9.98038631665412,10.9435707274347,,
ARG,1968,77.901,22.099,62.901,65.989,26436857247.4982,5.40371142251908,6.48445346277515,4.82250078158644,,,,9.72127698537181,13.8659232883292,,
ARG,1969,78.394,21.606,63.106,66.219,31256284543.6155,6.3987133165299,6.3987133165299,9.67952600806899,72.5,,,9.18580964838541,15.9785011847982,,
ARG,1970,78.88,21.12,63.349,66.483,31584210365.5447,4.73587740491927,5.601566676004,3.04564331900328,71.8,,221957.023,9.6375609641048,17.5387441024278,13.2443504333496,
ARG,1971,79.321,20.679,63.622,66.774,33293199095.4881,6.60795603425504,6.00723288128889,5.65813108318036,70.8,1387.00501789727,213551.78842,10.8658823843399,18.0216983735412,15.3060302734375,
ARG,1972,79.743,20.257,63.909,67.078,34733000536.2862,6.837877358188,7.19776583908352,1.62841651625511,69.6,1387.08244115605,223912.27884,10.984869871837,17.6345260412367,16.4837608337402,
ARG,1973,80.158,19.842,64.198,67.383,52544000116.9037,5.70950079036544,7.61266772119213,2.81175404095775,68.1,1420.33610074841,226956.0333,11.9525224881086,16.705575724589,19.6180801391602,
ARG,1974,80.567,19.433,64.484,67.686,72436777342.4554,6.28900906002225,6.9025707976099,5.5338043948322,66.0,1425.81317755796,229456.38,10.2308377488651,19.1738082781793,22.7486896514893,
ARG,1975,80.969,19.031,64.766,67.985,52438647921.9226,5.97867249611964,5.82405179865594,-0.0284121027670778,63.3,1389.27018424926,233416.77,6.5839104917193,16.4413498377265,26.975980758667,
ARG,1976,81.366,18.634,65.045,68.283,51169499890.7722,5.92149632801213,9.17538829665278,-2.01825151667566,59.8,1416.10861369304,247051.66,8.15217071220236,13.5627672951483,27.0718193054199,
ARG,1977,81.755,18.245,65.326,68.585,56781000100.9448,7.32639415527493,9.6158924127723,6.93414775537975,55.7,1432.13887104265,247370.86,8.08714211405919,18.3829098551981,24.0776195526123,
ARG,1978,82.139,17.861,65.611,68.891,58082870156.2634,5.71540643432856,8.6083899381245,-4.50612480247695,51.2,1438.34577538979,248238.32,7.50442747786782,20.5571174145343,21.3801898956299,
ARG,1979,82.516,17.484,65.897,69.197,69252328953.3789,6.32976917431398,6.51091546668746,10.2227634648727,46.8,1496.10295144932,255920.06,7.79627735903041,24.0562276271982,22.2299098968506,
ARG,1980,82.887,17.113,66.173,69.496,76961923741.9479,6.48369977949523,5.06197268096631,1.51878394940456,42.8,1498.78124635707,253870.99,6.35350500480657,25.3957927507699,21.7346897125244,
ARG,1981,83.313,16.687,66.431,69.777,78676842366.4213,7.37192799858578,6.9210494803617,-5.18978914005386,39.4,1440.78027521133,245776.76,6.47552296064522,33.5523067783184,23.1026306152344,
ARG,1982,83.759,16.241,66.664,70.033,84307486836.724,6.52099302139343,9.09049307859513,-0.735659161627296,36.5,1426.35127133433,243613.02,9.59615604621897,33.9063722686192,23.8299999237061,
ARG,1983,84.194,15.806,66.871,70.262,103979106777.911,5.83614942003836,9.15152068682072,4.34909327957422,34.1,1429.28032825042,248681.79,8.65832496118367,28.1182756416111,24.8389301300049,
ARG,1984,84.621,15.379,67.053,70.466,79092001998.032,4.75648611743286,7.5898953117888,1.57073870223007,32.1,1456.76889711191,243111.57,8.3459768371011,25.0009988367976,28.6764698028564,
ARG,1985,85.038,14.962,67.219,70.65,88416668900.2596,6.27332704995287,11.7360980207352,-5.18902435215529,30.6,1368.43319317491,238145.75,7.63430725730443,17.3641413760603,35.4959487915039,
ARG,1986,85.445,14.555,67.379,70.825,110934442762.694,6.32405524784407,8.16197754429543,6.15337706274559,29.6,1428.87629693302,250785.28,7.80040264019792,16.9072294948969,37.424991607666,
ARG,1987,85.843,14.157,67.545,71.001,111106191358.197,7.57576406955165,7.87320581340031,2.70486882600893,29.1,1483.77216423937,256953.81,8.09435846444628,21.2973148810876,39.2206497192383,
ARG,1988,86.233,13.767,67.726,71.186,126206817196.091,6.21184563577101,9.53161297293404,-1.08993334173134,28.9,1510.83372259487,266245.22,8.97786821775225,20.3358354792818,,
ARG,1989,86.613,13.387,67.924,71.384,76636898036.4712,6.57938879331971,13.0584089085641,-7.15694965554972,28.9,1446.65773323039,265608.3,9.61606509643166,39.7174950191489,,
ARG,1990,86.984,13.016,68.138,71.594,141352368714.691,4.63132240741775,10.3595365925264,-2.46721377637459,28.6,1412.17995914484,243030.0,8.12367620787488,15.6016948142115,,4.83851314669697
ARG,1991,87.328,12.672,68.361,71.813,189719984268.485,6.07801081056698,7.67504334832217,9.13311056620101,28.1,1435.48457114879,248010.0,6.71649176009431,12.5872034907184,38.1191101074219,5.00823654744009
