target,best_params,rmse,std,rmse/std,r2,mase,da
SP.DYN.LE00.IN,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 50}",2.0518028086873725,6.463654045390754,0.3174369782600784,0.8992337648331106,0.12376392554536071,0.9767441860465116
SP.URB.TOTL.IN.ZS,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 50}",2.1134298553198234,15.436263679167501,0.13691330358473142,0.9812547473015152,0.07407285685837611,0.9534883720930233
NV.AGR.TOTL.ZS,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.9465431057408835,4.9391157515826745,0.19164221964985864,0.9632732596476753,0.08594533137295857,1.0
EG.USE.PCAP.KG.OE,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",254.58873838849763,1646.2845949006744,0.15464442732263906,0.976085101098053,0.09557726143258458,0.9767441860465116
FS.AST.PRVT.GD.ZS,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 50}",7.393605410334888,45.86209688436216,0.16121385441614913,0.9740100931442887,0.10291271080158879,0.9534883720930233
NE.IMP.GNFS.ZS,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",1.5197750825974996,8.073015671473735,0.18825370152168472,0.9645605438633844,0.11540700764452674,0.9767441860465116
NY.GDP.MKTP.CD,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",626917589127.6783,4528927272204.676,0.13842518359154302,0.9808384685476477,0.0794810595913642,1.0
NE.EXP.GNFS.ZS,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 50}",2.3025825183123136,9.31720388746747,0.2471323528091413,0.9389256001950181,0.14309274178297487,1.0
NY.GDP.MKTP.KD.ZG,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",2.9939262433927114,2.9797868584812193,1.0047450994259028,-0.009512714820367307,0.617994090142099,0.6976744186046512
EN.ATM.GHGT.KT.CE,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 50}",338533.88703972433,1949473.966334803,0.17365396660115462,0.969844299883685,0.1012759305877864,0.9302325581395349
