country_code,feature_code,guiding_score
ARG,EG.USE.PCAP.KG.OE,4.137170343236792
ARG,EN.ATM.GHGT.KT.CE,5.010784221781009
ARG,FS.AST.PRVT.GD.ZS,3.333232810737579
ARG,NE.EXP.GNFS.ZS,4.862251705014506
ARG,NE.IMP.GNFS.ZS,4.164699032472584
ARG,NV.AGR.TOTL.ZS,3.0185262322766864
ARG,NY.GDP.MKTP.CD,4.9588496289808734
ARG,NY.GDP.MKTP.KD.ZG,4.924960287948414
ARG,SH.DYN.MORT,6.454457923391214
ARG,SP.DYN.LE00.IN,6.5068168542326354
ARG,SP.DYN.LE00.MA.IN,6.507300880530531
ARG,SP.RUR.TOTL.ZS,6.497676718099612
ARG,SP.URB.TOTL.IN.ZS,6.4466786760239
AUS,EG.USE.PCAP.KG.OE,4.737274256650991
AUS,EN.ATM.GHGT.KT.CE,2.9033240876344832
AUS,FS.AST.PRVT.GD.ZS,5.670048979355793
AUS,NE.EXP.GNFS.ZS,3.8645206070611
AUS,NE.IMP.GNFS.ZS,3.828549895152085
AUS,NV.AGR.TOTL.ZS,3.4353153747803153
AUS,NY.GDP.MKTP.CD,4.9452253425063795
AUS,NY.GDP.MKTP.KD.ZG,3.704990817481516
AUS,SH.DYN.MORT,5.980923727385109
AUS,SP.DYN.LE00.IN,6.191082067618958
AUS,SP.DYN.LE00.MA.IN,5.988636369486699
AUS,SP.RUR.TOTL.ZS,6.339396157161375
AUS,SP.URB.TOTL.IN.ZS,6.311360747660267
BRA,EG.USE.PCAP.KG.OE,5.050446898389205
BRA,EN.ATM.GHGT.KT.CE,4.631336980067696
BRA,FS.AST.PRVT.GD.ZS,5.435279489836419
BRA,NE.EXP.GNFS.ZS,3.945005496353189
BRA,NE.IMP.GNFS.ZS,3.5388722515036775
BRA,NV.AGR.TOTL.ZS,2.2066734691281056
BRA,NY.GDP.MKTP.CD,5.186465552670493
BRA,NY.GDP.MKTP.KD.ZG,3.954447601827172
BRA,SH.DYN.MORT,6.129921921819962
BRA,SP.DYN.LE00.IN,6.428082838621904
BRA,SP.DYN.LE00.MA.IN,6.451622162925734
BRA,SP.RUR.TOTL.ZS,6.473473834578047
BRA,SP.URB.TOTL.IN.ZS,6.396789304128998
CAN,EG.USE.PCAP.KG.OE,4.5469017003289345
