country_code,feature_code,lambda_A,lambda_M,guiding_score
ARG,SP.URB.TOTL.IN.ZS,10.0,10.0,6.446678676023895
ARG,SP.RUR.TOTL.ZS,0.1,10.0,6.497676718099612
ARG,SP.DYN.LE00.MA.IN,1.0,10.0,6.507300880530531
ARG,SP.DYN.LE00.IN,1.0,10.0,6.5068168542326354
ARG,NY.GDP.MKTP.CD,0.1,10.0,4.9588496289808734
ARG,NE.IMP.GNFS.ZS,0.1,10.0,4.164699032472583
ARG,NE.EXP.GNFS.ZS,0.1,10.0,4.862251705014506
ARG,NY.GDP.MKTP.KD.ZG,10.0,1.0,4.924960287948414
ARG,SH.DYN.MORT,0.1,10.0,6.454457923391214
ARG,EG.USE.PCAP.KG.OE,10.0,0.1,4.137170343236791
ARG,EN.ATM.GHGT.KT.CE,0.1,10.0,5.010784221781009
ARG,NV.AGR.TOTL.ZS,1.0,10.0,3.0185262322766864
ARG,FS.AST.PRVT.GD.ZS,10.0,10.0,3.333232810737579
AUS,SP.URB.TOTL.IN.ZS,0.1,10.0,6.311360747660267
AUS,SP.RUR.TOTL.ZS,0.1,10.0,6.339396157161375
AUS,SP.DYN.LE00.MA.IN,0.1,10.0,5.988636369486699
AUS,SP.DYN.LE00.IN,0.1,1.0,6.191082067618958
AUS,NY.GDP.MKTP.CD,0.1,10.0,4.9452253425063795
AUS,NE.IMP.GNFS.ZS,0.1,10.0,3.828549895152084
AUS,NE.EXP.GNFS.ZS,10.0,10.0,3.8645206070611
AUS,NY.GDP.MKTP.KD.ZG,0.1,10.0,3.704990817481516
AUS,SH.DYN.MORT,1.0,10.0,5.980923727385109
AUS,EG.USE.PCAP.KG.OE,0.1,10.0,4.737274256650991
AUS,EN.ATM.GHGT.KT.CE,10.0,10.0,2.9033240876344832
AUS,NV.AGR.TOTL.ZS,0.1,10.0,3.4353153747803153
AUS,FS.AST.PRVT.GD.ZS,0.1,10.0,5.670048979355793
BRA,SP.URB.TOTL.IN.ZS,0.1,10.0,6.396789304128998
BRA,SP.RUR.TOTL.ZS,0.1,10.0,6.473473834578047
BRA,SP.DYN.LE00.MA.IN,0.1,10.0,6.451622162925734
BRA,SP.DYN.LE00.IN,0.1,10.0,6.428082838621904
BRA,NY.GDP.MKTP.CD,0.1,10.0,5.186465552670493
BRA,NE.IMP.GNFS.ZS,1.0,10.0,3.538872251503677
BRA,NE.EXP.GNFS.ZS,1.0,10.0,3.945005496353189
BRA,NY.GDP.MKTP.KD.ZG,10.0,0.1,3.954447601827172
BRA,SH.DYN.MORT,0.1,0.1,6.129921921819962
BRA,EG.USE.PCAP.KG.OE,10.0,10.0,5.050446898389206
BRA,EN.ATM.GHGT.KT.CE,10.0,10.0,4.631336980067695
BRA,NV.AGR.TOTL.ZS,0.1,10.0,2.2066734691281056
BRA,FS.AST.PRVT.GD.ZS,0.1,0.1,5.435279489836419
CAN,SP.URB.TOTL.IN.ZS,10.0,10.0,5.880597456260339
CAN,SP.RUR.TOTL.ZS,0.1,10.0,5.863748487704196
CAN,SP.DYN.LE00.MA.IN,0.1,0.1,5.895925777173582
CAN,SP.DYN.LE00.IN,0.1,1.0,5.875570031971397
CAN,NY.GDP.MKTP.CD,0.1,10.0,4.953529409666389
CAN,NE.IMP.GNFS.ZS,10.0,10.0,4.128222190020823
CAN,NE.EXP.GNFS.ZS,1.0,10.0,4.4538516459863216
CAN,NY.GDP.MKTP.KD.ZG,10.0,1.0,4.303156957328305
CAN,SH.DYN.MORT,0.1,10.0,5.910619499880954
CAN,EG.USE.PCAP.KG.OE,0.1,10.0,4.5469017003289345
CAN,EN.ATM.GHGT.KT.CE,0.1,10.0,3.1558779455224983
CAN,NV.AGR.TOTL.ZS,0.1,10.0,3.5930717219557744
CAN,FS.AST.PRVT.GD.ZS,0.1,10.0,1.8795373613417696
CHN,SP.URB.TOTL.IN.ZS,0.1,10.0,6.497595468532186
CHN,SP.RUR.TOTL.ZS,0.1,10.0,6.5003312665831
CHN,SP.DYN.LE00.MA.IN,0.1,10.0,6.124111473036719
CHN,SP.DYN.LE00.IN,0.1,10.0,6.244106187448765
CHN,NY.GDP.MKTP.CD,0.1,10.0,6.059246915043026
CHN,NE.IMP.GNFS.ZS,10.0,10.0,4.852796564993551
CHN,NE.EXP.GNFS.ZS,0.1,10.0,4.9673522717332315
CHN,NY.GDP.MKTP.KD.ZG,0.1,10.0,4.814200691248725
CHN,SH.DYN.MORT,0.1,10.0,6.519714120692235
CHN,EG.USE.PCAP.KG.OE,10.0,10.0,5.161323959669278
CHN,EN.ATM.GHGT.KT.CE,10.0,10.0,5.723762349949845
CHN,NV.AGR.TOTL.ZS,0.1,10.0,5.340960714593811
CHN,FS.AST.PRVT.GD.ZS,0.1,10.0,4.915056197599641
DEU,SP.URB.TOTL.IN.ZS,0.1,10.0,5.966753344507658
DEU,SP.RUR.TOTL.ZS,1.0,10.0,5.97911466915572
DEU,SP.DYN.LE00.MA.IN,1.0,1.0,5.6871591444725
DEU,SP.DYN.LE00.IN,1.0,1.0,5.655831629240587
DEU,NY.GDP.MKTP.CD,0.1,0.1,4.410347177347761
DEU,NE.IMP.GNFS.ZS,1.0,10.0,4.283448612016718
DEU,NE.EXP.GNFS.ZS,1.0,10.0,4.34362204029463
DEU,NY.GDP.MKTP.KD.ZG,1.0,10.0,4.248504323593899
DEU,SH.DYN.MORT,0.1,10.0,5.279937332886856
DEU,EG.USE.PCAP.KG.OE,10.0,10.0,3.6783663053309086
DEU,EN.ATM.GHGT.KT.CE,10.0,0.1,4.643954532416996
