country_code,year,y_true,y_pred,feature_code,lambda_A,lambda_M
ARG,2005,90.031,90.03306589647283,SP.URB.TOTL.IN.ZS,0.05,10.0
ARG,2006,90.2,90.16533063036385,SP.URB.TOTL.IN.ZS,0.05,10.0
ARG,2007,90.366,90.32653741245113,SP.URB.TOTL.IN.ZS,0.05,10.0
ARG,2008,90.53,90.53616606065306,SP.URB.TOTL.IN.ZS,0.05,10.0
ARG,2009,90.691,90.69915935613102,SP.URB.TOTL.IN.ZS,0.05,10.0
ARG,2010,90.849,90.86302688685285,SP.URB.TOTL.IN.ZS,0.05,10.0
ARG,2011,90.99,91.03808488959177,SP.URB.TOTL.IN.ZS,0.05,10.0
ARG,2012,91.121,91.18323750524948,SP.URB.TOTL.IN.ZS,0.05,10.0
ARG,2013,91.249,91.31773551782635,SP.URB.TOTL.IN.ZS,0.05,10.0
ARG,2014,91.377,91.44282727126922,SP.URB.TOTL.IN.ZS,0.05,10.0
ARG,2015,91.503,91.56990137679429,SP.URB.TOTL.IN.ZS,0.05,10.0
ARG,2016,91.627,91.70122045026628,SP.URB.TOTL.IN.ZS,0.05,10.0
ARG,2017,91.749,91.7870403560401,SP.URB.TOTL.IN.ZS,0.05,10.0
ARG,2018,91.87,91.90623700672793,SP.URB.TOTL.IN.ZS,0.05,10.0
ARG,2019,91.991,92.02167459686125,SP.URB.TOTL.IN.ZS,0.05,10.0
ARG,2005,9.96899999999999,9.97257780655612,SP.RUR.TOTL.ZS,0.05,10.0
ARG,2006,9.8,9.836832350102888,SP.RUR.TOTL.ZS,0.05,10.0
ARG,2007,9.634,9.679622454304175,SP.RUR.TOTL.ZS,0.05,10.0
ARG,2008,9.47,9.47029501698247,SP.RUR.TOTL.ZS,0.05,10.0
ARG,2009,9.309,9.30909173627133,SP.RUR.TOTL.ZS,0.05,10.0
ARG,2010,9.151,9.150541729028753,SP.RUR.TOTL.ZS,0.05,10.0
ARG,2011,9.01000000000001,8.995888646417669,SP.RUR.TOTL.ZS,0.05,10.0
ARG,2012,8.879,8.849866542714794,SP.RUR.TOTL.ZS,0.05,10.0
ARG,2013,8.751,8.717143580696241,SP.RUR.TOTL.ZS,0.05,10.0
ARG,2014,8.623,8.597528112207154,SP.RUR.TOTL.ZS,0.05,10.0
ARG,2015,8.497,8.47415025691663,SP.RUR.TOTL.ZS,0.05,10.0
ARG,2016,8.373,8.349335167920923,SP.RUR.TOTL.ZS,0.05,10.0
ARG,2017,8.251,8.234730403850293,SP.RUR.TOTL.ZS,0.05,10.0
