country_code,feature_code,guiding_score
ARG,EG.USE.PCAP.KG.OE,4.134608167182593
ARG,EN.ATM.GHGT.KT.CE,4.974242594488036
ARG,FS.AST.PRVT.GD.ZS,3.208876386375155
ARG,NE.EXP.GNFS.ZS,4.85191429038048
ARG,NE.IMP.GNFS.ZS,4.1451798296533395
ARG,NV.AGR.TOTL.ZS,2.846566760598018
ARG,NY.GDP.MKTP.CD,4.878111608161499
ARG,NY.GDP.MKTP.KD.ZG,4.922691174464996
ARG,SH.DYN.MORT,6.405567083445576
ARG,SP.DYN.LE00.IN,6.505809122382204
ARG,SP.DYN.LE00.MA.IN,6.505835288485473
ARG,SP.RUR.TOTL.ZS,6.481707194079957
ARG,SP.URB.TOTL.IN.ZS,6.439221280035181
AUS,EG.USE.PCAP.KG.OE,4.609713638325078
AUS,EN.ATM.GHGT.KT.CE,2.7321129303698233
AUS,FS.AST.PRVT.GD.ZS,5.424886082332734
AUS,NE.EXP.GNFS.ZS,3.771541166057587
AUS,NE.IMP.GNFS.ZS,3.4674699844610775
AUS,NV.AGR.TOTL.ZS,3.2818078194599254
AUS,NY.GDP.MKTP.CD,4.787235426664604
AUS,NY.GDP.MKTP.KD.ZG,3.366967318213501
AUS,SH.DYN.MORT,5.827675417116708
AUS,SP.DYN.LE00.IN,6.11740712916448
AUS,SP.DYN.LE00.MA.IN,5.8556349415775575
AUS,SP.RUR.TOTL.ZS,6.174187555208063
AUS,SP.URB.TOTL.IN.ZS,6.032684419982014
BRA,EG.USE.PCAP.KG.OE,5.029523687903926
BRA,EN.ATM.GHGT.KT.CE,4.6198852177242165
BRA,FS.AST.PRVT.GD.ZS,5.428523749421612
BRA,NE.EXP.GNFS.ZS,3.9238015069023016
BRA,NE.IMP.GNFS.ZS,3.519344345414881
BRA,NV.AGR.TOTL.ZS,1.8809166903762944
BRA,NY.GDP.MKTP.CD,5.006622272490578
BRA,NY.GDP.MKTP.KD.ZG,3.8711784633292425
BRA,SH.DYN.MORT,6.099769756838012
BRA,SP.DYN.LE00.IN,6.420519065393328
BRA,SP.DYN.LE00.MA.IN,6.446323865889466
