country_code,year,y_true,y_pred,feature_code
ARG,2005,90.031,90.03100967118999,SP.URB.TOTL.IN.ZS
ARG,2006,90.2,90.14350573964946,SP.URB.TOTL.IN.ZS
ARG,2007,90.366,90.30085391059818,SP.URB.TOTL.IN.ZS
AUS,2005,84.582,84.36001206309948,SP.URB.TOTL.IN.ZS
AUS,2006,84.7,84.42189305987159,SP.URB.TOTL.IN.ZS
AUS,2007,84.822,84.57490324293762,SP.URB.TOTL.IN.ZS
BRA,2005,82.834,82.9336908075075,SP.URB.TOTL.IN.ZS
BRA,2006,83.143,83.21142575488895,SP.URB.TOTL.IN.ZS
BRA,2007,83.448,83.69836279733187,SP.URB.TOTL.IN.ZS
CAN,2005,80.122,80.23032610339982,SP.URB.TOTL.IN.ZS
CAN,2006,80.213,80.25911149819794,SP.URB.TOTL.IN.ZS
CAN,2007,80.396,80.38359093025795,SP.URB.TOTL.IN.ZS
CHN,2005,42.522,42.47788136088165,SP.URB.TOTL.IN.ZS
CHN,2006,43.868,43.95731438574062,SP.URB.TOTL.IN.ZS
CHN,2007,45.199,45.40724154856433,SP.URB.TOTL.IN.ZS
DEU,2005,75.98,76.0198619029519,SP.URB.TOTL.IN.ZS
DEU,2006,76.179,76.24938530582651,SP.URB.TOTL.IN.ZS
DEU,2007,76.378,76.4526039845828,SP.URB.TOTL.IN.ZS
EUU,2005,71.8999308930476,71.8567642795776,SP.URB.TOTL.IN.ZS
EUU,2006,72.1166485441279,72.09224085773525,SP.URB.TOTL.IN.ZS
EUU,2007,72.3363987139009,72.34255579218262,SP.URB.TOTL.IN.ZS
FRA,2005,77.13,77.09460746784652,SP.URB.TOTL.IN.ZS
FRA,2006,77.377,77.35058236882641,SP.URB.TOTL.IN.ZS
FRA,2007,77.621,77.60888387974722,SP.URB.TOTL.IN.ZS
GBR,2005,79.915,79.6480192866814,SP.URB.TOTL.IN.ZS
GBR,2006,80.199,79.93843272611184,SP.URB.TOTL.IN.ZS
GBR,2007,80.479,80.31312073071052,SP.URB.TOTL.IN.ZS
IDN,2005,45.942,45.85638431198937,SP.URB.TOTL.IN.ZS
IDN,2006,46.738,47.06973741597217,SP.URB.TOTL.IN.ZS
IDN,2007,47.535,48.02695178523821,SP.URB.TOTL.IN.ZS
IND,2005,29.235,29.18956472038152,SP.URB.TOTL.IN.ZS
IND,2006,29.569,29.58671133538913,SP.URB.TOTL.IN.ZS
IND,2007,29.906,29.963745729517527,SP.URB.TOTL.IN.ZS
ITA,2005,67.738,67.67705448234122,SP.URB.TOTL.IN.ZS
ITA,2006,67.856,67.8056476201929,SP.URB.TOTL.IN.ZS
ITA,2007,67.974,67.93865597656864,SP.URB.TOTL.IN.ZS
JPN,2005,85.978,85.80765730505448,SP.URB.TOTL.IN.ZS
JPN,2006,87.118,87.32945036981273,SP.URB.TOTL.IN.ZS
JPN,2007,88.146,88.62957335967073,SP.URB.TOTL.IN.ZS
KOR,2005,81.345,81.46414684340677,SP.URB.TOTL.IN.ZS
KOR,2006,81.528,81.77690328110087,SP.URB.TOTL.IN.ZS
KOR,2007,81.631,81.89161076570093,SP.URB.TOTL.IN.ZS
MEX,2005,76.308,76.30091133918732,SP.URB.TOTL.IN.ZS
MEX,2006,76.616,76.58116111086258,SP.URB.TOTL.IN.ZS
MEX,2007,76.92,76.89354585747338,SP.URB.TOTL.IN.ZS
RUS,2005,73.463,73.40272927400562,SP.URB.TOTL.IN.ZS
