target,rmse,std,rmse/std,r2,mase,da
SP.DYN.LE00.IN,4.416202109069061,5.575594450013033,0.7982520313620459,0.345415775528254,1.275684866108695,0.530232558139535
SP.URB.TOTL.IN.ZS,12.825188015191927,13.69442901400052,0.9331551238550946,0.11985117510182579,1.3731028346564416,0.5674418604651164
NV.AGR.TOTL.ZS,4.064428530076963,4.162336384365831,0.9784179219055581,0.033332094220939835,1.4605084423752324,0.5395348837209303
EG.USE.PCAP.KG.OE,1715.2862212565033,1992.9265004745928,0.8578673708541353,0.25957819421178685,1.0315781133397794,0.4418604651162791
FS.AST.PRVT.GD.ZS,34.71376197421389,48.851664960913936,0.7114772728466796,0.4847028133339434,1.0508859718716377,0.5581395348837209
NE.IMP.GNFS.ZS,7.9367059271398235,8.85915868576389,0.8950753263329261,0.19433957891725262,1.1057337474129683,0.5534883720930233
NY.GDP.MKTP.CD,1376935024593.6196,4879431890868.638,0.2843459752914814,0.9041179332271231,0.3478333392251912,0.6139534883720931
NE.EXP.GNFS.ZS,9.324379423628717,10.619038574262866,0.8803206669560876,0.21669205032981093,1.0764117310350114,0.572093023255814
NY.GDP.MKTP.KD.ZG,3.3861897237515266,3.4133029243895465,0.9903645848733174,0.014231826414247117,0.8133090540735359,0.5255813953488372
EN.ATM.GHGT.KT.CE,1388129.5767355056,2565961.635048749,0.5516064119974773,0.6861903463733533,0.6328077385729802,0.5767441860465117
