target,best_params,rmse,std,rmse/std,r2,mase,da
SP.DYN.LE00.IN,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",1.0931187968291263,9.085471019415456,0.12031503864721542,0.9855242914753191,0.06441388829728485,0.9753086419753086
SP.URB.TOTL.IN.ZS,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",1.6198758704816016,18.7227733325658,0.08651901306010262,0.9925144603791058,0.05571958258448016,0.9588477366255144
NV.AGR.TOTL.ZS,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",1.3609079009342437,8.944431844894565,0.15215140822063986,0.9768499489764763,0.08202848875288732,0.9465020576131687
EG.USE.PCAP.KG.OE,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",334.595820750118,2114.7706403915904,0.15821849157512474,0.9749669089236922,0.08321590040198658,0.9835390946502057
FS.AST.PRVT.GD.ZS,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",9.48524310259281,47.398100618663335,0.2001186329997774,0.9599525327263004,0.10285534405652202,0.9176954732510288
NE.IMP.GNFS.ZS,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 50}",2.1193854023356233,9.487642183625942,0.223383782958565,0.9500996855111207,0.11767497480067608,0.9300411522633745
NY.GDP.MKTP.CD,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",436580661883.1073,3112022068148.4595,0.14028842094389676,0.9803191589490681,0.07492400592104176,0.934156378600823
NE.EXP.GNFS.ZS,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",5.158701451190258,13.20813610841956,0.39056997965835855,0.8474550909896694,0.14135050260366377,0.9506172839506173
NY.GDP.MKTP.KD.ZG,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",3.690030996432632,4.9819705100510205,0.7406770050099799,0.45139757424944615,0.43117690363882605,0.691358024691358
EN.ATM.GHGT.KT.CE,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",185505.11757241105,2005214.4182986151,0.09251136231596045,0.991441647842445,0.0599054350936748,0.9423868312757202
